Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((12.5, 6.72, 0.0), 1/2, -0.2748308, 'Y2')
((-6.03092, 9.26688, 8.91547), 1/2, -0.2748308, 'Y1')
((12.11887, -0.81312, 7.47191), 1/2, -0.2748308, 'Y1')
((-2.05663, 5.8128, -12.85982), 1/2, -0.2748308, 'Y1')
((-2.60004, 12.5328, -6.33334), 1/2, -0.2748308, 'Y1')
((7.23158, 4.99968, 11.30445), 1/2, -0.2748308, 'Y2')
((6.46908, 9.26688, 8.91547), 1/2, -0.2748308, 'Y1')
((13.86271, -0.81312, 3.83253), 1/2, -0.2748308, 'Y1')
((-10.21275, 0.0, -10.16587), 1/2, -0.2748308, 'Y2')
((10.21275, 0.0, 10.16587), 1/2, -0.2748308, 'Y2')
((-7.70642, -4.2672, -11.41627), 1/2, -0.2748308, 'Y1')
((8.37521, -10.08, 6.22151), 1/2, -0.2748308, 'Y2')
((8.37521, 10.08, 6.22151), 1/2, -0.2748308, 'Y2')
((0.4497, -3.36, -14.11023), 1/2, -0.2748308, 'Y2')
((0.4497, 3.36, -14.11023), 1/2, -0.2748308, 'Y2')
((3.64996, 12.62688, -6.33334), 1/2, -0.2748308, 'Y1')
((1.90612, -14.25312, -2.69396), 1/2, -0.2748308, 'Y1')
((-13.64362, 1.63968, 5.08293), 1/2, -0.2748308, 'Y2')
((13.64362, 1.63968, -5.08294), 1/2, -0.2748308, 'Y2')
((-0.38113, 12.62688, 7.47191), 1/2, -0.2748308, 'Y1')
((14.40612, -0.81312, -2.69396), 1/2, -0.2748308, 'Y1')
((-10.3748, 8.35968, 6.22151), 1/2, -0.2748308, 'Y2')
((4.19337, 5.90688, -12.85982), 1/2, -0.2748308, 'Y1')
((-1.45642, 9.26688, -11.41627), 1/2, -0.2748308, 'Y1')
((-0.69392, 11.71968, -9.02729), 1/2, -0.2748308, 'Y2')
((1.36271, -14.25312, 3.83253), 1/2, -0.2748308, 'Y1')
((-8.08755, -11.80032, -3.94436), 1/2, -0.2748308, 'Y2')
((-9.99367, -10.9872, -1.2504), 1/2, -0.2748308, 'Y1')
((-12.88113, -0.81312, 7.47191), 1/2, -0.2748308, 'Y1')
((11.80608, -1.72032, -9.02729), 1/2, -0.2748308, 'Y2')
((-7.77475, 2.54688, 12.55485), 1/2, -0.2748308, 'Y1')
((-11.35638, 8.35968, -5.08294), 1/2, -0.2748308, 'Y2')
((11.35638, 8.35968, 5.08293), 1/2, -0.2748308, 'Y2')
((5.32546, -0.9072, 13.9984), 1/2, -0.2748308, 'Y1')
((-5.26842, -8.44032, 11.30445), 1/2, -0.2748308, 'Y2')
((-11.7375, 9.1728, 2.38898), 1/2, -0.2748308, 'Y1')
((-2.05663, -7.6272, -12.85982), 1/2, -0.2748308, 'Y1')
((9.51883, 11.71968, 1.13858), 1/2, -0.2748308, 'Y2')
((7.61271, 12.5328, 3.83253), 1/2, -0.2748308, 'Y1')
